ชื่อกล้อง,จำนวนเหตุการณ์เข้า,"จำนวนเหตุการณ์ออก"
WatPaAdul2 CCTV11,15494,"6695"
KangSaDal1-1 CCTV13,29796,"1529"
SciParkPole1-1 CCTV03,1203,"1385"
SciParkPole1-2 CCTV04,206,"66"
LIB Gate1,18407,"18358"
SritanIn CCTV21,462,"4627"
SritanIn CCTV22,4203,"54643"
WaterSupply CCTV35,5040,"5715"
